QXV79977.1	92daf1ebaddf57a88018569c5a5052e1	197	Pfam	PF06941	5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)	1	175	0.027	T	09-07-2025	IPR010708	5'(3')-deoxyribonucleotidase	-	-
QXV79977.1	92daf1ebaddf57a88018569c5a5052e1	197	Gene3D	G3DSA:3.40.50.1000	-	61	197	9.7E-15	T	09-07-2025	IPR023214	HAD superfamily	-	-
QXV79977.1	92daf1ebaddf57a88018569c5a5052e1	197	SUPERFAMILY	SSF56784	HAD-like	2	194	3.35E-10	T	09-07-2025	IPR036412	HAD-like superfamily	-	-
NP_416254.1	ea37cb76b651f90db9b8d4dbf6861145	275	NCBIfam	NF001979	ammonia-dependent NAD(+) synthetase	1	274	0.0	T	09-07-2025	-	-	-	-
NP_416254.1	ea37cb76b651f90db9b8d4dbf6861145	275	Hamap	MF_00193	NH(3)-dependent NAD(+) synthetase [nadE].	18	268	47.316956	T	09-07-2025	IPR022926	NH(3)-dependent NAD(+) synthetase	-	-
NP_416254.1	ea37cb76b651f90db9b8d4dbf6861145	275	Gene3D	G3DSA:3.40.50.620	HUPs	1	275	3.2E-94	T	09-07-2025	IPR014729	Rossmann-like alpha/beta/alpha sandwich fold	-	-
NP_416254.1	ea37cb76b651f90db9b8d4dbf6861145	275	PANTHER	PTHR23090	NH 3 /GLUTAMINE-DEPENDENT NAD +  SYNTHETASE	8	244	2.0E-34	T	09-07-2025	IPR003694	NAD(+) synthetase	-	-
NP_416254.1	ea37cb76b651f90db9b8d4dbf6861145	275	FunFam	G3DSA:3.40.50.620:FF:000015	NH(3)-dependent NAD(+) synthetase	1	274	0.0	T	09-07-2025	-	-	-	-
NP_416254.1	ea37cb76b651f90db9b8d4dbf6861145	275	Pfam	PF02540	NAD synthase	23	265	8.2E-75	T	09-07-2025	IPR022310	NAD/GMP synthase	-	-
NP_416254.1	ea37cb76b651f90db9b8d4dbf6861145	275	CDD	cd00553	NAD_synthase	17	262	7.70965E-82	T	09-07-2025	IPR003694	NAD(+) synthetase	-	-
NP_416254.1	ea37cb76b651f90db9b8d4dbf6861145	275	NCBIfam	TIGR00552	NAD(+) synthase	16	275	1.1E-83	T	09-07-2025	IPR003694	NAD(+) synthetase	-	-
NP_416254.1	ea37cb76b651f90db9b8d4dbf6861145	275	SUPERFAMILY	SSF52402	Adenine nucleotide alpha hydrolases-like	3	273	1.45E-86	T	09-07-2025	-	-	-	-
NP_416630.1	42f56e489167f808d0238f10719f137e	561	Gene3D	G3DSA:3.30.450.40	-	231	356	7.0E-7	T	09-07-2025	IPR029016	GAF-like domain superfamily	-	-
NP_416630.1	42f56e489167f808d0238f10719f137e	561	FunFam	G3DSA:3.30.450.40:FF:000013	Sensor histidine kinase YehU	231	356	2.0E-83	T	09-07-2025	-	-	-	-
NP_416630.1	42f56e489167f808d0238f10719f137e	561	Pfam	PF06580	Histidine kinase	371	448	3.2E-23	T	09-07-2025	IPR010559	Signal transduction histidine kinase, internal region	-	-
NP_416630.1	42f56e489167f808d0238f10719f137e	561	SUPERFAMILY	SSF55781	GAF domain-like	243	359	5.23E-8	T	09-07-2025	-	-	-	-
NP_416630.1	42f56e489167f808d0238f10719f137e	561	SUPERFAMILY	SSF55874	ATPase domain of HSP90 chaperone/DNA topoisomerase II/histidine kinase	424	556	2.88E-13	T	09-07-2025	IPR036890	Histidine kinase/HSP90-like ATPase superfamily	-	-
NP_416630.1	42f56e489167f808d0238f10719f137e	561	CDD	cd16956	HATPase_YehU-like	463	556	5.53378E-50	T	09-07-2025	-	-	-	-
NP_416630.1	42f56e489167f808d0238f10719f137e	561	PANTHER	PTHR34220	SENSOR HISTIDINE KINASE YPDA	36	560	2.9E-124	T	09-07-2025	IPR050640	Bacterial two-component sensor kinase systems	-	-
NP_416630.1	42f56e489167f808d0238f10719f137e	561	Gene3D	G3DSA:3.30.565.10	-	423	557	3.4E-15	T	09-07-2025	IPR036890	Histidine kinase/HSP90-like ATPase superfamily	-	-
NP_416630.1	42f56e489167f808d0238f10719f137e	561	SMART	SM00065	gaf_1	218	365	4.9E-12	T	09-07-2025	IPR003018	GAF domain	-	-
NP_416630.1	42f56e489167f808d0238f10719f137e	561	Pfam	PF07694	5TMR of 5TMR-LYT	27	196	2.5E-55	T	09-07-2025	IPR011620	Signal transduction histidine kinase, 5TM receptor LytS, transmembrane region	-	-
NP_416630.1	42f56e489167f808d0238f10719f137e	561	Pfam	PF13185	GAF domain	243	352	0.0016	T	09-07-2025	IPR003018	GAF domain	-	-
QXV80665.1	ba401d9f61c6a95dd2addf8a0a7d4026	100	MobiDBLite	mobidb-lite	consensus disorder prediction	55	100	-	T	09-07-2025	-	-	-	-
QXV80665.1	ba401d9f61c6a95dd2addf8a0a7d4026	100	Pfam	PF11653	Bacteriophage T7 virion assembly protein	1	100	4.4E-48	T	09-07-2025	IPR024281	Bacteriophage T7-like virion assembly protein	-	-
NP_417148.1	81c0dd1a7823ed99a23cd0ae419b6e0f	426	NCBIfam	TIGR00700	4-aminobutyrate--2-oxoglutarate transaminase	9	420	0.0	T	09-07-2025	IPR004632	4-aminobutyrate aminotransferase, bacterial	-	-
NP_417148.1	81c0dd1a7823ed99a23cd0ae419b6e0f	426	FunFam	G3DSA:3.90.1150.10:FF:000022	4-aminobutyrate aminotransferase	278	418	3.6E-39	T	09-07-2025	-	-	-	-
NP_417148.1	81c0dd1a7823ed99a23cd0ae419b6e0f	426	CDD	cd00610	OAT_like	7	421	0.0	T	09-07-2025	IPR005814	Aminotransferase class-III	-	-
NP_417148.1	81c0dd1a7823ed99a23cd0ae419b6e0f	426	ProSitePatterns	PS00600	Aminotransferases class-III pyridoxal-phosphate attachment site.	236	273	-	T	09-07-2025	IPR049704	Aminotransferases class-III pyridoxal-phosphate attachment site	-	-
NP_417148.1	81c0dd1a7823ed99a23cd0ae419b6e0f	426	Gene3D	G3DSA:3.90.1150.10	Aspartate Aminotransferase, domain 1	24	418	0.0	T	09-07-2025	IPR015422	Pyridoxal phosphate-dependent transferase, small domain	-	-
NP_417148.1	81c0dd1a7823ed99a23cd0ae419b6e0f	426	PANTHER	PTHR11986	AMINOTRANSFERASE CLASS III	3	424	5.3E-106	T	09-07-2025	IPR050103	Class-III Pyridoxal-phosphate-dependent Aminotransferase	-	-
NP_417148.1	81c0dd1a7823ed99a23cd0ae419b6e0f	426	NCBIfam	NF005985	4-aminobutyrate--2-oxoglutarate transaminase	1	426	0.0	T	09-07-2025	-	-	-	-
