geneID,symbol,entity,5_R1,5_R2,10_R1,10_R2,20_R1,20_R2
gene-AUO97_RS17180,gene-AUO97_RS17180,host,0.1851553643826373,0.0257211312595299,0.0237892076272534,0.0186989995672734,0.0242344606061234,0.0302992805757594
gene-AUO97_RS08455,gene-AUO97_RS08455,host,0.1166618010170301,0.1134437262920319,0.1049229262717809,0.0824724296703956,0.1068867262522706,0.1336357743288759
gene-AUO97_RS07760,glmS,host,109.50889108028451,74.10392186050066,21.317497312428973,18.034285212346138,17.641540829646797,15.222052108505318
gene-M172_gp35,gene-M172_gp35,phage,1196.7821561453868,1365.2694632595387,8806.141458457898,11148.44185341526,48545.10884856054,49698.44592227042
gene-AUO97_RS10170,gene-AUO97_RS10170,host,7.021085877962103,6.827411694905277,2.765900176850352,1.8459143290101636,0.7974533241334331,0.3323402764723354
gene-AUO97_RS10920,gene-AUO97_RS10920,host,156.8951307813263,113.9407052331478,29.740011216497916,24.32840328980327,21.992942867771536,17.76762555650627
gene-AUO97_RS03240,gene-AUO97_RS03240,host,6.0316966021807685,3.669433130598837,1.4163188573147911,1.407337841426456,0.6261326993598162,0.9870417111958528
gene-AUO97_RS13540,gene-AUO97_RS13540,host,16.574829541816896,11.883736774297011,7.6092541843084,8.07972084427157,5.847753706346327,7.6512446686064
gene-AUO97_RS04845,gene-AUO97_RS04845,host,0.3650047367149596,0.6776054908760594,0.0298433472928718,0.3049504510267622,0.3344210447114457,0.1900508766653175
gene-AUO97_RS07725,gene-AUO97_RS07725,host,0.2365801711921711,0.2654471428015527,0.1800401608440248,0.1415167307152108,0.1167153907352381,0.0625389091686857
gene-AUO97_RS06740,gene-AUO97_RS06740,host,2.246527924990108,2.767107107528618,0.5836928556110338,0.5999683509805808,0.6860972293220077,0.1715594400168001
gene-AUO97_RS02250,htpX,host,188.95928237246815,143.27905066535862,61.357329119959864,58.86537939603353,40.38159282037359,37.2874785557044
gene-AUO97_RS09775,gene-AUO97_RS09775,host,3.6816386862052495,2.472840129619122,0.7168535544938459,0.724458157892345,0.5216218661283757,0.565206100329321
gene-AUO97_RS10955,ndhC,host,115.94851554885538,82.64437114573602,22.373103327572423,19.544621172704353,14.955428083503852,13.040382217798731
gene-AUO97_RS18940,pgaA,host,1.894857419962956,1.0737385901810408,0.4291128288483047,0.5878569863959934,0.2123272606364294,0.234232445779395
gene-AUO97_RS16235,gene-AUO97_RS16235,host,4.568305403240046,3.180574716407092,1.7261100919589332,1.3567720442117523,0.7677595336900906,1.0837535357158838
gene-AUO97_RS00385,gene-AUO97_RS00385,host,15.38814025338096,11.150209328434144,4.485455098118636,3.585964682399317,3.1634359942739345,1.8066528721769184
gene-AUO97_RS02225,gene-AUO97_RS02225,host,7.259131203445125,6.245520510821438,2.821040942212979,3.0199136309227073,1.2863860720118292,2.840210459792955
gene-AUO97_RS09840,gene-AUO97_RS09840,host,31.63735108720188,22.8035262388394,9.96767799581919,7.865666205008557,5.885069750923155,5.711682260362859
gene-AUO97_RS11310,gene-AUO97_RS11310,host,6.277407457068713,6.188443897141511,1.4406409603332426,2.111745220661888,1.38827486245625,0.9422366119672696
gene-AUO97_RS14000,tssM,host,3.3813622404583135,2.4428215728217557,1.0241300529037758,0.3379752510022095,0.7247339203536314,0.4480728903968192
gene-AUO97_RS11165,ccsA,host,11.041823425889651,7.544007798420128,2.4734608359995773,3.046898096156282,1.0154238993965714,0.8933798987541519
gene-AUO97_RS03495,gene-AUO97_RS03495,host,12.504580508428903,8.389213170254786,2.7026065702949995,2.1700107223770275,1.5690223518372677,1.7396027183044631
