AXN58174.1	AXN58174.1
AXN58174.1	AYD82741.1
AXN58174.1	NP_049751.1
AXN58174.1	QXV75531.1
AXN58174.1	QXV76112.1
AXN58174.1	QXV76463.1
AXN58174.1	QXV78689.1
AXN58174.1	QXV79246.1
AXN58174.1	QXV84987.1
AXN58174.1	QXV75257.1
AXN58174.1	QXV77093.1
AXN58174.1	QXV78970.1
AXN58174.1	QXV83626.1
AXN58174.1	QXV86095.1
AXN58179.1	AXN58179.1
AXN58179.1	AYD82746.1
AXN58179.1	NP_049756.1
AXN58179.1	QXV75262.1
AXN58179.1	QXV75536.1
AXN58179.1	QXV76117.1
AXN58179.1	QXV76468.1
AXN58179.1	QXV77099.1
AXN58179.1	QXV78694.1
AXN58179.1	QXV78975.1
AXN58179.1	QXV79251.1
AXN58179.1	QXV82239.1
AXN58179.1	QXV83289.1
AXN58179.1	QXV83631.1
AXN58179.1	QXV84992.1
AXN58179.1	QXV86100.1
AXN58181.1	AXN58181.1
AXN58182.1	AXN58182.1
AXN58201.1	AXN58201.1
AXN58204.1	AXN58204.1
AXN58215.1	AXN58215.1
AXN58215.1	NP_049795.1
AXN58215.1	QXV75293.1
AXN58215.1	QXV76227.1
AXN58215.1	QXV78458.1
AXN58215.1	QXV78726.1
AXN58215.1	QXV81998.1
AXN58215.1	QXV83441.1
AXN58215.1	AXN58115.1
AXN58215.1	NP_049657.1
AXN58215.1	NP_049691.2
AXN58215.1	QXV76456.1
AXN58215.1	AXN58167.1
AXN58215.1	NP_049745.2
AXN58215.1	QXV76104.1
AXN58215.1	QXV83618.1
AXN58215.1	QXV84979.1
AXN58215.1	QXV77097.1
AXN58215.1	QXV84367.1
AXN58215.1	QXV84747.1
AXN58215.1	AXN58209.1
AXN58215.1	NP_049788.2
AXN58215.1	QXV76220.1
AXN58215.1	QXV84995.1
AXN58215.1	QXV75539.1
AXN58216.1	AXN58216.1
AXN58217.1	AXN58217.1
AXN58234.1	AXN58234.1
AXN58245.1	AXN58245.1
AXN58256.1	AXN58256.1
AXN58256.1	AYD82813.1
AXN58256.1	NP_049835.1
AXN58256.1	QXV75062.1
AXN58256.1	QXV75333.1
AXN58256.1	QXV75911.1
AXN58256.1	QXV76268.1
AXN58256.1	QXV76901.1
AXN58256.1	QXV78498.1
AXN58256.1	QXV78767.1
AXN58256.1	QXV79046.1
AXN58256.1	QXV82038.1
AXN58256.1	QXV83088.1
AXN58256.1	QXV83424.1
AXN58256.1	QXV84793.1
AXN58256.1	QXV85894.1
AXN58261.1	AXN58261.1
AXN58261.1	AYD82818.1
AXN58261.1	NP_049840.1
AXN58261.1	QXV75067.1
AXN58261.1	QXV75338.1
AXN58261.1	QXV75916.1
AXN58261.1	QXV76273.1
AXN58261.1	QXV76906.1
AXN58261.1	QXV78503.1
AXN58261.1	QXV78772.1
AXN58261.1	QXV79051.1
AXN58261.1	QXV82043.1
AXN58261.1	QXV83093.1
AXN58261.1	QXV83429.1
AXN58261.1	QXV84798.1
AXN58261.1	QXV85899.1
AXN58286.1	AXN58286.1
AXN58286.1	QXV75363.1
AXN58286.1	QXV75940.1
AXN58286.1	QXV76298.1
AXN58286.1	QXV76926.1
AXN58286.1	QXV79075.1
AXN58286.1	QXV82069.1
AXN58286.1	QXV83117.1
AXN58286.1	NP_049866.1
AXN58286.1	QXV78528.1
AXN58286.1	QXV78798.1
AXN58286.1	QXV84825.1
AXN58286.1	QXV75088.1
AXN58286.1	QXV85923.1
AXN58286.1	AYD82841.1
AXN58286.1	QXV83451.1
AXN58287.1	AXN58287.1
AXN58287.1	QXV75364.1
AXN58287.1	QXV78529.1
AXN58287.1	QXV78799.1
AXN58287.1	QXV82070.1
AXN58287.1	QXV83452.1
AXN58287.1	QXV85924.1
AXN58289.1	AXN58289.1
AXN58291.1	AXN58291.1
AXN58291.1	QXV75368.1
AXN58291.1	QXV76931.1
AXN58291.1	QXV75093.1
AXN58291.1	QXV76303.1
AXN58291.1	NP_049871.1
AXN58291.1	AYD82846.1
AXN58291.1	QXV82074.1
AXN58291.1	QXV84830.1
AXN58291.1	QXV83122.1
AXN58291.1	QXV75944.1
AXN58291.1	QXV78533.1
AXN58291.1	QXV83456.1
AXN58291.1	QXV78803.1
AXN58291.1	QXV79080.1
AXN58291.1	QXV85928.1
AXN58294.1	AXN58294.1
AXN58295.1	AXN58295.1
AXN58295.1	NP_049876.1
AXN58295.1	QXV76308.1
AXN58295.1	QXV76935.1
AXN58295.1	QXV78538.1
AXN58295.1	QXV78808.1
AXN58295.1	QXV79085.1
AXN58295.1	QXV82079.1
