geneID,symbol,entity,0,5,10,15
gene-PA4635a,gene-PA4635a,host,20.49240734574768,1.5934686644734817,0.3022552444877323,0.1343689717158743
gene-PA0853,gene-PA0853,host,3.921585213697088,1.3987319617604137,0.5434059173041428,0.3277690469262289
gene-PA2691,gene-PA2691,host,3.3151301495895287,0.1717935916185715,0.4298502885872684,0.0347919967951069
gene-PA4985,gene-PA4985,host,0.9151238351884592,0.2817446258825591,0.0730726964695616,0.0903998184868904
gene-PA1844,gene-PA1844,host,1.5578516233586694,1.1477515052816076,0.488738781576856,0.3343528073988595
gene-PA3256,gene-PA3256,host,25.16450362352933,2.693104665974081,0.7292164667994394,0.0743050458677794
gene-PA2481,gene-PA2481,host,3.939911766306015,1.6412705073727096,0.6739882403690787,0.4898652185780229
gene-PA0451a,gene-PA0451a,host,7.389988397645082,0.0086196508702243,0.6211850198583035,0.6250008993179519
gene-PA1889,gene-PA1889,host,3.0488229805712854,0.0063384940306776,0.4578722723808214,0.1724221736317744
gene-PA2033,gene-PA2033,host,259.11528792474564,8.25525470320158,2.539959105902879,0.7998884083074489
gene-PA0855,gene-PA0855,host,0.9136242673899648,0.3755252350308085,0.1681696290399672,0.1106921227459614
gene-PA2549,gene-PA2549,host,0.9682413184405584,1.942553788711714,0.0571946960308615,0.2762894459308092
gene-PA2019,gene-PA2019,host,1.1910150977223086,0.1213300910236387,0.0701895614766644,0.1771734885674852
gene-PA1962,azoR2,host,0.5080615913133253,0.0721667851011143,0.144099977392869,0.1620962262523552
gene-PA3047,gene-PA3047,host,3.495329463410812,1.0310983309673616,0.2258296918398276,0.0194058593443065
gene-PA5193,yrfI,host,7.182440147460763,3.2797864090052435,0.0137617313991587,0.7860959815528261
gene-PA5268,corA,host,4.99667361224383,0.8512149545412768,0.3576423825272448,0.2151005350498216
gene-PA3719,armR,host,1.4905370470407022,1.6667099826942962,1.6742725949646151,0.0437943315222108
gene-PA1806,fabI,host,9.806001989579588,4.760662741207984,0.4444205017959559,0.0363253996630109
gene-PA0799,gene-PA0799,host,5.1225171874707245,0.8289021657011437,0.314468285053638,0.0560683137507533
gene-PA3672,gene-PA3672,host,4.257329738445961,0.2922350040846109,0.0387735471793633,0.0383911347759641
gene-PA1643a,gene-PA1643a,host,19.312690819591243,3.3738269679725033,1.1225709359100766,0.9698276189461552
gene-PA2888,atuC,host,1.385989809569923,0.1048279719523897,0.1306991527880311,0.1352611309184682
gene-PA0169,gene-PA0169,host,6.043397652234548,3.467530321007108,0.7605700140180613,0.4274513346962729
gene-PA1869,gene-PA1869,host,35.82232441787401,41.0488361555045,15.871635407962469,3.046452226394247
gene-PA4831,gene-PA4831,host,1.476201209981769,1.4438231701141164,0.0212874376671014,0.0379394743668351
gene-PA2931,cifR,host,6.297056921552267,0.4356351178228164,0.6006908557915008,0.3330359754156999
gene-PA3194,edd,host,1.306213801191625,16.16963686888193,0.1181512774556101,0.4115071906676102
gene-PA1244,gene-PA1244,host,31.778102929039385,10.520969688843238,1.1290433679636056,1.941097572797596
gene-PA2163,gene-PA2163,host,0.8381538454426313,0.1802778348372403,0.0873452668166727,0.0480372758090921
gene-PA1424a,gene-PA1424a,host,3.8989131477338783,0.1681435556243156,0.6289896727923995,0.2093389135752727
gene-PA2848,gene-PA2848,host,0.3714942286300017,0.0061503247858781,0.3948797116644633,0.144872972185472
gene-PA0060,gene-PA0060,host,16.205655167233136,1.7976820548858754,2.351476302505254,0.5985761017858691
gene-PA3376,gene-PA3376,host,1.5196031634125104,0.0692577956709244,0.1270586882441778,0.008694462875733
gene-PA0479,gene-PA0479,host,1.9207971172700185,0.4423890437186198,0.083906818659055,0.1038029461489845
gene-PA1021,gene-PA1021,host,5.202542943255846,0.7334255661327398,0.4499812015377048,0.498777036263584
gene-PA3626,gene-PA3626,host,24.698398007782167,1.5929655973957215,0.6653161934035201,0.927534688160395
gene-PA5252,gene-PA5252,host,9.80695401171649,1.011875054568483,0.9407656952423196,0.5167485899610337
gene-PA2159,gene-PA2159,host,0.9920417631870388,0.1656139660207811,0.0286384952787623,0.2367304599225044
gene-PA4170,gene-PA4170,host,1.5175550057677691,0.1278304401512708,0.0042666139804372,0.1583820274696479
gene-PA3161,himD,host,81.65523242310833,8.040753784941316,1.6526006078978035,2.0220470912239987
gene-PA4127,hpcG,host,0.1274101908395778,0.4451794627205689,0.1388574518591357,0.1227818430195078
gene-PA4536,gene-PA4536,host,20.831269435417216,0.2652365189992389,1.1258612514995636,0.4689191664086111
gene-PA0027,gene-PA0027,host,12.251759054109176,5.332348765677185,0.6134042274675301,0.2071120391043359
