geneID,symbol,entity,0_R1,2_R1,5_R1,10_R1,15_R1,21_R1,28_R1,35_R1,42_R1,49_R1
gene-Y11_RS13525,gene-Y11_RS13525,host,35.73181972934881,11.4216466344145,8.755950807675225,9.034975716944793,8.255525823055619,10.821174272646974,16.058522792848372,16.969383558736112,20.098859402643704,15.78165665795984
gene-Y11_RS04440,gene-Y11_RS04440,host,0.0081089041017779,0.0451583262800311,0.0232496241716342,0.0296510044411689,0.0467994915753352,0.0204136155320254,0.0071510341376153,0.0338590256570472,0.0438647784780717,0.0277889001333215
gene-Y11_RS03710,gene-Y11_RS03710,host,31.30492703696791,31.73674787302107,24.37402249582277,19.418905364190856,15.762536757488665,18.107734348758928,15.718645231687402,17.143732112050635,17.92972820291184,21.402844149283464
gene-Y11_RS17940,dhaM,host,18.79981559059117,12.462167582816356,14.956074658810936,18.965787349090405,26.519548714546406,27.199092793608997,26.8914638745024,35.397656284467736,34.251032252390914,40.70126256409907
gene-Y11_RS02645,rluE,host,46.65060289469672,31.49773811862964,29.71936049794077,26.76804721031256,27.214240232575932,24.11394962021103,25.632762112121902,27.494338858059628,28.728743447804383,29.521784034936772
gene-Y11_RS19155,gene-Y11_RS19155,host,35.19698785748491,23.24008750107119,24.97000409992175,28.171913502962013,27.023920700733765,26.621541826853917,29.77733180582408,31.51977006778407,38.85343641684959,33.49918829047945
gene-g241,g241,phage,0.0724179649929787,15.529929433616054,21.705819820388733,38.22538971326756,29.588781911986487,41.08458843129396,48.344701495977,68.89234776569522,110.95940367859154,210.31754679705625
gene-Y11_RS08155,gene-Y11_RS08155,host,13.749411162299268,9.180875291273995,7.9750667705671106,7.552252928631116,8.132495674996996,9.97377949669667,11.512639486208691,12.2180023643953,16.63512162979424,13.461103032952336
gene-Y11_RS07840,gene-Y11_RS07840,host,45.59857674162144,25.938600034843653,35.312892100881186,31.862662637951495,32.88772409059775,29.33274650863356,35.19677355688245,31.680909563107676,36.41342318064468,27.793595499206152
gene-Y11_RS13720,gene-Y11_RS13720,host,167.48426168940796,137.93601354250885,141.4845384342777,137.90367123665513,113.84880899206443,100.97091670589042,106.42101962654074,111.77238229466263,94.65900395126178,88.83985936615355
gene-Y11_RS15885,gene-Y11_RS15885,host,17.4118143735373,7.977451914917235,7.544369425165575,7.78536053063423,7.373904127148431,7.793274828159808,9.42650729091217,10.76646962737571,13.08134127277141,11.424614602758814
gene-Y11_RS19570,lpxB,host,80.09209744842552,86.81366974432586,65.19012152321338,47.153879764040006,36.43121231647661,34.48035375492794,27.49826080287587,30.805112980886193,31.076985105928003,34.59183394089639
gene-Y11_RS08435,gene-Y11_RS08435,host,99.11498111273082,66.61144194189627,59.05547783725054,57.927129748444585,45.20113737570307,47.0009469310895,40.94949887339227,42.57697055795215,38.2727468369265,37.91262034350304
gene-Y11_RS00650,ccmD,host,43.92730128628784,43.44633604541979,42.043443864977014,28.62036410607535,22.18690595178153,21.312552456959835,22.17242752145981,20.623083793632514,28.376495141379507,29.815481006899812
gene-Y11_RS01965,gene-Y11_RS01965,host,9.552065558159285,4.11221675272388,4.719216037074584,3.880896230892375,5.027506011634341,5.702873009988168,6.042370463185578,8.192044624146906,10.56771591928053,7.500924338742753
gene-g132,g132,phage,0.0837351044615171,29.937688639806527,55.77927464815468,92.65177325224928,84.4284175155556,80.96963904704327,88.98182325521846,98.1087009471524,82.22762087836453,133.88136306231658
gene-Y11_RS17930,dhaK,host,13.62302722444841,100.52190153257872,28.011552111169895,31.51160496985235,40.747064069832554,44.982950048468,45.28984939293943,50.66327911256434,50.72702878082248,65.37003103918465
gene-Y11_RS03605,thrS,host,893.6013707374572,945.9323595404982,856.5193002330863,942.0865339956882,895.9688423402122,885.0194119229919,960.342924714818,880.3969613714904,889.0245201501032,840.6884336076721
gene-g310,g310,phage,0.0301319504691065,19.029000266487053,25.946844775818445,45.4604482886751,52.61521475757777,76.13327504540028,97.33540728488369,102.087963496908,124.2367166932673,172.6868568705374
gene-Y11_RS19465,syd,host,68.32223256149456,58.05588786156892,49.3757575512426,44.442955905641256,41.169563607835,40.93429160203138,45.5350260219008,46.70657531959254,54.77142189289503,51.93730332254683
gene-Y11_RS23035,cdiI,host,25.62119748388128,12.367172130865042,16.8841676937429,24.74872974939942,30.28804595391228,31.679634773956163,30.83749389956525,43.98312827119682,44.931898876497065,34.49262492923371
gene-Y11_RS05710,gene-Y11_RS05710,host,197.99650653338668,105.23045687941315,102.46742695534904,89.47314933044595,69.22807802110086,54.92528368611996,44.7478652410685,48.041734131031546,42.5377981794674,37.704955798458094
gene-Y11_RS08740,sdhA,host,246.7529468086136,181.819336041273,190.375462069152,161.3334912720569,150.6872913025452,139.00920096737104,126.80098393559194,126.84376264594208,113.75179685677584,119.04599687827236
gene-g130,g130,phage,0.0656339515168657,22.23788244249532,32.8067159691176,59.20245783673403,40.767068002028054,68.83440840148195,74.65477853063537,89.13428732763026,100.9319432380946,205.05663275359296
gene-Y11_RS00720,aroC,host,123.28529153151057,108.1237781811524,95.50887806774304,68.72288655473622,57.80827473952482,52.04361053964888,46.86465779714506,48.28205396139293,46.74805156639864,49.72731560956898
gene-g021,g021,phage,0.1242942956850644,182.87725057693345,258.3705304917271,403.0758470326402,371.5067952399609,457.01141253693345,487.22509615012154,404.1590004215309,402.11897927080526,531.0671574244395
gene-g261,g261,phage,0.0281658292700601,18.63884905388724,29.153017742218992,54.14096134845928,58.50189737033172,88.7568824771601,109.2513401375014,132.95354242560583,143.58148110874444,223.2305961949591
gene-Y11_RS16880,gene-Y11_RS16880,host,18.444083184382603,12.971916344075478,11.60695740206098,9.374468116828153,8.746161336231024,9.010975912498552,8.048706218503481,10.509130711475112,7.94059123063764,9.354726375819975
gene-Y11_RS12035,gene-Y11_RS12035,host,108.7575087244314,74.09535840096629,79.39201741546556,49.60047820735413,43.98851586347436,51.420302711458696,51.65158437127023,49.1892285705513,66.65376459432476,57.97676391096501
gene-Y11_RS10200,hpxX,host,28.9302702951744,15.9128505742652,14.789190038371313,11.663997063467736,9.263272499127924,9.730591630541747,12.389967132314538,13.848139350295572,11.089670697442784,15.95870911089274
gene-g158,g158,phage,0.0222824507670703,43.10904902307804,61.05527144964876,115.03059831011647,104.32340781813996,142.23709828051113,197.30887012340415,211.9292183681553,249.77467416520275,328.32725619620936
gene-Y11_RS14780,gene-Y11_RS14780,host,106.95544984460308,88.7967341489012,87.6775137863305,68.27693240890838,73.72539543346883,65.42284477037063,72.63118324393203,73.69831826542557,76.00184506969502,69.9105545348031
